"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"2009"	"2009"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	69	279530	24.7	19.2	31.2	3.0	23.6	18.4	30.0	2.9	0.1%
	"2009"	"2009"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	"Large Central Metro"	"1"	"White"	"2106-3"	13	366282	Unreliable	1.9	6.1	1.0	Unreliable	2.0	6.5	1.1	0.0%
	"2009"	"2009"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	30	144828	20.7	14.0	29.6	3.8	21.3	14.3	30.6	4.0	0.0%
	"2009"	"2009"	"Alabama"	"01"	"Mobile County, AL"	"01097"	"Medium Metro"	"3"	"White"	"2106-3"	10	254734	Unreliable	1.9	7.2	1.2	Unreliable	1.9	7.2	1.3	0.0%
	"2009"	"2009"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	26	125776	20.7	13.5	30.3	4.1	18.8	12.2	27.7	3.7	0.0%
	"2009"	"2009"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	21	223359	9.4	5.8	14.4	2.1	8.3	5.1	12.9	1.8	0.0%
	"2009"	"2009"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	"Large Central Metro"	"1"	"White"	"2106-3"	110	3312950	3.3	2.7	3.9	0.3	3.4	2.7	4.0	0.3	0.1%
	"2009"	"2009"	"Arizona"	"04"	"Pima County, AZ"	"04019"	"Medium Metro"	"3"	"White"	"2106-3"	32	856476	3.7	2.6	5.3	0.7	3.9	2.7	5.6	0.7	0.0%
	"2009"	"2009"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	"Large Fringe Metro"	"2"	"White"	"2106-3"	11	295974	Unreliable	1.9	6.6	1.1	Unreliable	2.2	7.8	1.3	0.0%
	"2009"	"2009"	"Arkansas"	"05"	"Jefferson County, AR"	"05069"	"Small Metro"	"4"	"Black or African American"	"2054-5"	15	43096	Unreliable	19.5	57.4	9.0	Unreliable	16.9	52.0	8.2	0.0%
	"2009"	"2009"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	26	135541	19.2	12.5	28.1	3.8	17.3	11.3	25.3	3.4	0.0%
	"2009"	"2009"	"California"	"06"	"Alameda County, CA"	"06001"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	60	213391	28.1	21.5	36.2	3.6	26.6	20.3	34.4	3.5	0.0%
	"2009"	"2009"	"California"	"06"	"Alameda County, CA"	"06001"	"Large Central Metro"	"1"	"White"	"2106-3"	36	833105	4.3	3.0	6.0	0.7	4.4	3.1	6.2	0.7	0.0%
	"2009"	"2009"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	46	110478	41.6	30.5	55.5	6.1	39.4	28.8	52.8	5.9	0.0%
	"2009"	"2009"	"California"	"06"	"Contra Costa County, CA"	"06013"	"Large Fringe Metro"	"2"	"White"	"2106-3"	32	743578	4.3	2.9	6.1	0.8	4.8	3.3	6.8	0.9	0.0%
	"2009"	"2009"	"California"	"06"	"Fresno County, CA"	"06019"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	12	59541	Unreliable	10.4	35.2	5.8	Unreliable	8.8	31.7	5.2	0.0%
	"2009"	"2009"	"California"	"06"	"Fresno County, CA"	"06019"	"Medium Metro"	"3"	"White"	"2106-3"	35	732436	4.8	3.3	6.6	0.8	4.7	3.2	6.5	0.8	0.0%
	"2009"	"2009"	"California"	"06"	"Kern County, CA"	"06029"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	22	57776	38.1	23.9	57.7	8.1	34.4	21.3	52.6	7.6	0.0%
	"2009"	"2009"	"California"	"06"	"Kern County, CA"	"06029"	"Medium Metro"	"3"	"White"	"2106-3"	37	704945	5.2	3.7	7.2	0.9	4.9	3.5	6.8	0.8	0.0%
	"2009"	"2009"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Large Central Metro"	"1"	"Asian or Pacific Islander"	"A-PI"	18	1477404	Unreliable	0.7	1.9	0.3	Unreliable	0.6	1.8	0.3	0.0%
	"2009"	"2009"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	198	969387	20.4	17.6	23.3	1.5	19.3	16.6	22.0	1.4	0.1%
	"2009"	"2009"	"California"	"06"	"Los Angeles County, CA"	"06037"	"Large Central Metro"	"1"	"White"	"2106-3"	329	7176904	4.6	4.1	5.1	0.3	4.3	3.8	4.8	0.2	0.2%
	"2009"	"2009"	"California"	"06"	"Merced County, CA"	"06047"	"Medium Metro"	"3"	"White"	"2106-3"	11	211702	Unreliable	2.6	9.3	1.6	Unreliable	2.6	9.4	1.6	0.0%
	"2009"	"2009"	"California"	"06"	"Monterey County, CA"	"06053"	"Medium Metro"	"3"	"White"	"2106-3"	38	347060	10.9	7.7	15.0	1.8	10.0	7.1	13.8	1.6	0.0%
	"2009"	"2009"	"California"	"06"	"Orange County, CA"	"06059"	"Large Central Metro"	"1"	"White"	"2106-3"	39	2311740	1.7	1.2	2.3	0.3	1.7	1.2	2.3	0.3	0.0%
	"2009"	"2009"	"California"	"06"	"Riverside County, CA"	"06065"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	13	163211	Unreliable	4.2	13.6	2.2	Unreliable	3.9	12.5	2.1	0.0%
	"2009"	"2009"	"California"	"06"	"Riverside County, CA"	"06065"	"Large Central Metro"	"1"	"White"	"2106-3"	43	1784502	2.4	1.7	3.2	0.4	2.5	1.8	3.3	0.4	0.0%
	"2009"	"2009"	"California"	"06"	"Sacramento County, CA"	"06067"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	23	174201	13.2	8.4	19.8	2.8	12.0	7.6	18.1	2.5	0.0%
	"2009"	"2009"	"California"	"06"	"Sacramento County, CA"	"06067"	"Large Central Metro"	"1"	"White"	"2106-3"	27	968078	2.8	1.8	4.1	0.5	2.8	1.9	4.1	0.5	0.0%
	"2009"	"2009"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Large Fringe Metro"	"2"	"Black or African American"	"2054-5"	33	209804	15.7	10.8	22.1	2.7	14.6	10.0	20.6	2.6	0.0%
	"2009"	"2009"	"California"	"06"	"San Bernardino County, CA"	"06071"	"Large Fringe Metro"	"2"	"White"	"2106-3"	55	1605282	3.4	2.6	4.5	0.5	3.2	2.4	4.2	0.4	0.0%
	"2009"	"2009"	"California"	"06"	"San Diego County, CA"	"06073"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	11	191458	Unreliable	2.9	10.3	1.7	Unreliable	2.7	9.5	1.6	0.0%
	"2009"	"2009"	"California"	"06"	"San Diego County, CA"	"06073"	"Large Central Metro"	"1"	"White"	"2106-3"	32	2433767	1.3	0.9	1.9	0.2	1.2	0.8	1.7	0.2	0.0%
	"2009"	"2009"	"California"	"06"	"San Francisco County, CA"	"06075"	"Large Central Metro"	"1"	"Black or African American"	"2054-5"	15	56712	Unreliable	14.8	43.6	6.8	Unreliable	14.2	41.8	6.6	0.0%
	"2009"	"2009"	"California"	"06"	"San Joaquin County, CA"	"06077"	"Medium Metro"	"3"	"White"	"2106-3"	30	484053	6.2	4.2	8.8	1.1	6.2	4.2	8.8	1.1	0.0%
	"2009"	"2009"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Large Central Metro"	"1"	"Asian or Pacific Islander"	"A-PI"	10	599799	Unreliable	0.8	3.1	0.5	Unreliable	0.8	3.0	0.5	0.0%
	"2009"	"2009"	"California"	"06"	"Santa Clara County, CA"	"06085"	"Large Central Metro"	"1"	"White"	"2106-3"	11	1079054	Unreliable	0.5	1.8	0.3	Unreliable	0.5	1.8	0.3	0.0%
	"2009"	"2009"	"California"	"06"	"Solano County, CA"	"06095"	"Medium Metro"	"3"	"Black or African American"	"2054-5"	13	70647	Unreliable	9.8	31.5	5.1	Unreliable	9.3	29.9	4.9	0.0%
